artifact_type,filename,rows,columns,status
table,trusted_manifest_android.csv,6091.0,2.0,AVAILABLE
table,trusted_manifest_malmem.csv,42039.0,2.0,AVAILABLE
figure,figure_16_3_1_accuracy_vs_poisoning_rate.png,,,AVAILABLE
figure,figure_16_3_2_macro_f1_vs_poisoning_rate.png,,,AVAILABLE
figure,figure_16_3_3_poison_removal_rate.png,,,AVAILABLE
figure,figure_16_3_4_clean_data_retention.png,,,AVAILABLE
figure,figure_16_3_5_dataset_sensitivity.png,,,AVAILABLE
figure,figure_16_3_6_ablation_f1.png,,,AVAILABLE
figure,figure_1_attack_distribution.png,,,AVAILABLE
figure,figure_2_missingness.png,,,AVAILABLE
figure,figure_3_representative_feature_distribution.png,,,AVAILABLE
figure,figure_4_roc_curves.png,,,AVAILABLE
figure,figure_5_precision_recall_curves.png,,,AVAILABLE
figure,figure_6_poisoning_rate_sensitivity.png,,,AVAILABLE
figure,figure_7_downstream_performance.png,,,AVAILABLE
figure,figure_8_poisonshield_architecture.png,,,AVAILABLE
