dataset,poisoning_rate,seed,metric,poisonshield_value,no_defense_value,absolute_difference,poisonshield_higher
MalMem,0.2,42,macro_f1,0.7970088799275166,0.8122492356056605,-0.015240355678143969,False
MalMem,0.2,42,balanced_accuracy,0.7962103900819115,0.8086320797128079,-0.012421689630896404,False
MalMem,0.2,123,accuracy,0.9184962881061444,0.9207076291265204,-0.002211341020376012,False
MalMem,0.2,123,macro_precision,0.8016465863289235,0.8141569856852998,-0.012510399356376323,False
MalMem,0.2,123,macro_recall,0.7999727366541198,0.8049399669811023,-0.00496723032698243,False
MalMem,0.2,123,macro_f1,0.800692992734689,0.8094128804719822,-0.008719887737293264,False
MalMem,0.2,123,balanced_accuracy,0.7999727366541198,0.8049399669811023,-0.00496723032698243,False
MalMem,0.2,2026,accuracy,0.9151792765755804,0.9203917232664666,-0.005212446690886163,False
MalMem,0.2,2026,macro_precision,0.7929622391792079,0.8144854447921406,-0.02152320561293264,False
MalMem,0.2,2026,macro_recall,0.7918087215583666,0.8042641568711842,-0.012455435312817675,False
MalMem,0.2,2026,macro_f1,0.7923128862457748,0.8091986355639298,-0.016885749318155008,False
MalMem,0.2,2026,balanced_accuracy,0.7918087215583666,0.8042641568711842,-0.012455435312817675,False
Android,0.01,42,accuracy,0.9226579520697168,0.925925925925926,-0.0032679738562092497,False
Android,0.01,42,macro_precision,0.9107027192495576,0.9191077411709874,-0.008405021921429778,False
Android,0.01,42,macro_recall,0.911446661797538,0.9137088444435716,-0.002262182646033617,False
Android,0.01,42,macro_f1,0.9100586286970426,0.9154984302917952,-0.005439801594752658,False
Android,0.01,42,balanced_accuracy,0.911446661797538,0.9137088444435716,-0.002262182646033617,False
Android,0.01,123,accuracy,0.9248366013071896,0.9270152505446624,-0.002178649237472796,False
Android,0.01,123,macro_precision,0.9140428991774184,0.917081328624078,-0.003038429446659552,False
Android,0.01,123,macro_recall,0.9119428428436868,0.9161184829977884,-0.004175640154101656,False
Android,0.01,123,macro_f1,0.9126143997919144,0.915193792521918,-0.002579392730003627,False
Android,0.01,123,balanced_accuracy,0.9119428428436868,0.9161184829977884,-0.004175640154101656,False
Android,0.01,2026,accuracy,0.9215686274509804,0.9237472766884532,-0.002178649237472796,False
Android,0.01,2026,macro_precision,0.9112870729454016,0.9137924217752038,-0.0025053488298022453,False
Android,0.01,2026,macro_recall,0.9085970857144504,0.9093295048640088,-0.0007324191495583499,False
Android,0.01,2026,macro_f1,0.9091538338155134,0.9109284813924348,-0.001774647576921362,False
Android,0.01,2026,balanced_accuracy,0.9085970857144504,0.9093295048640088,-0.0007324191495583499,False
Android,0.05,42,accuracy,0.9215686274509804,0.925925925925926,-0.004357298474945592,False
Android,0.05,42,macro_precision,0.909024153471259,0.919280932125676,-0.010256778654416987,False
Android,0.05,42,macro_recall,0.9091596371935908,0.9098774034528964,-0.0007177662593055301,False
Android,0.05,42,macro_f1,0.907607239087984,0.9139170014191732,-0.006309762331189184,False
Android,0.05,42,balanced_accuracy,0.9091596371935908,0.9098774034528964,-0.0007177662593055301,False
Android,0.05,123,accuracy,0.9226579520697168,0.920479302832244,0.002178649237472796,True
Android,0.05,123,macro_precision,0.91187542243724,0.9091724868274892,0.0027029356097507673,True
