dataset,poisoning_rate,defense,metric,n,mean,std,sem,ci95_lower,ci95_upper
MalMem,0.01,E2_Integrity_Only,macro_precision,3,0.7875237435491438,0.0038319386408747357,0.0022123708058271576,0.7780046802622336,0.797042806836054
MalMem,0.01,E2_Integrity_Only,macro_recall,3,0.7873827130114265,0.0038033027417160433,0.0021958378617393994,0.7779347852415263,0.7968306407813267
MalMem,0.01,E2_Integrity_Only,poison_removal_rate,3,0.941834451901566,0.012704492943624687,0.0073349424209194145,0.9102747418716419,0.9733941619314901
MalMem,0.01,E2_Integrity_Only,retention,3,0.9897673067685467,0.00025375775979089325,0.0001465071109242286,0.9891369375478009,0.9903976759892926
MalMem,0.01,E3_Anomaly_Only,accuracy,3,0.9040699204970252,0.00036477666668116804,0.00021060390670246676,0.9031637650229559,0.9049760759710944
MalMem,0.01,E3_Anomaly_Only,balanced_accuracy,3,0.7683864859583481,0.0008064029494273959,0.0004655769599272152,0.7663832699808089,0.7703897019358874
MalMem,0.01,E3_Anomaly_Only,macro_f1,3,0.7673746645866849,0.0008956614548239671,0.0005171103820453892,0.7651497181897955,0.7695996109835743
MalMem,0.01,E3_Anomaly_Only,macro_precision,3,0.7664428161277813,0.0010327279613881598,0.0005962457665071076,0.763877377652918,0.7690082546026447
MalMem,0.01,E3_Anomaly_Only,macro_recall,3,0.7683864859583481,0.0008064029494273959,0.0004655769599272152,0.7663832699808089,0.7703897019358874
MalMem,0.01,E3_Anomaly_Only,poison_removal_rate,3,0.10850111856823264,0.01908134464119906,0.0110166194650963,0.06110043075412498,0.1559018063823403
MalMem,0.01,E3_Anomaly_Only,retention,3,0.9521319972742609,0.00019056405050689158,0.00011002220585801931,0.9516586099298928,0.952605384618629
MalMem,0.01,E4_PoisonShield,accuracy,3,0.9089664613278577,0.0006383591666921036,0.0003685568367293512,0.9073806892482363,0.9105522334074792
MalMem,0.01,E4_PoisonShield,balanced_accuracy,3,0.7765328202887477,0.001544224104033347,0.0008915582021527615,0.7726967549565246,0.7803688856209708
MalMem,0.01,E4_PoisonShield,macro_f1,3,0.77719232303222,0.0017575825930410567,0.0010147407832152547,0.7728262458313307,0.7815584002331092
MalMem,0.01,E4_PoisonShield,macro_precision,3,0.7780175260883562,0.0019880982650894506,0.0011478290685248223,0.773078816213382,0.7829562359633303
MalMem,0.01,E4_PoisonShield,macro_recall,3,0.7765328202887477,0.001544224104033347,0.0008915582021527615,0.7726967549565246,0.7803688856209708
MalMem,0.01,E4_PoisonShield,poison_removal_rate,3,0.9429530201342282,0.014627177662888107,0.00844500496115293,0.9066170964853758,0.9792889437830806
MalMem,0.01,E4_PoisonShield,retention,3,0.9764960845426008,0.0003167542897718708,0.00018287817446675835,0.9757092232660198,0.9772829458191818
MalMem,0.05,E1_No_Defense,accuracy,3,0.9142315589954193,0.0015556559472115585,0.0008981583798890356,0.9103670953904424,0.9180960226003962
MalMem,0.05,E1_No_Defense,balanced_accuracy,3,0.7891233171467507,0.003862013110566794,0.0022297343089996025,0.7795295447355175,0.7987170895579838
MalMem,0.05,E1_No_Defense,macro_f1,3,0.7897655589597496,0.003991120451871354,0.002304274467256147,0.779851066133118,0.7996800517863812
