dataset,poisoning_rate,seed,metric,comparison,poisonshield_value,baseline_value,absolute_difference
Android,0.1,123,macro_f1,PoisonShield_vs_Integrity_Only,0.9098135983948956,0.9085034672973852,0.0013101310975104363
Android,0.1,123,macro_f1,PoisonShield_vs_Anomaly_Only,0.9098135983948956,0.910660949448918,-0.0008473510540223383
Android,0.1,123,macro_precision,PoisonShield_vs_No_Defense,0.9135313648615536,0.9198324634975608,-0.006301098636007141
Android,0.1,123,macro_precision,PoisonShield_vs_Integrity_Only,0.9135313648615536,0.9105077745177248,0.003023590343828819
Android,0.1,123,macro_precision,PoisonShield_vs_Anomaly_Only,0.9135313648615536,0.915460963634794,-0.001929598773240393
Android,0.1,123,macro_recall,PoisonShield_vs_No_Defense,0.9078700318427212,0.9134387745851182,-0.005568742742397048
Android,0.1,123,macro_recall,PoisonShield_vs_Integrity_Only,0.9078700318427212,0.9083733681209076,-0.0005033362781864392
Android,0.1,123,macro_recall,PoisonShield_vs_Anomaly_Only,0.9078700318427212,0.9084532074222856,-0.0005831755795644433
Android,0.1,123,poison_removal_rate,PoisonShield_vs_No_Defense,0.9684873949579832,0.0,0.9684873949579832
Android,0.1,123,poison_removal_rate,PoisonShield_vs_Integrity_Only,0.9684873949579832,0.9684873949579832,0.0
Android,0.1,123,poison_removal_rate,PoisonShield_vs_Anomaly_Only,0.9684873949579832,0.0504201680672268,0.9180672268907564
Android,0.1,123,retention,PoisonShield_vs_No_Defense,0.8854319949548034,1.0,-0.1145680050451966
Android,0.1,123,retention,PoisonShield_vs_Integrity_Only,0.8854319949548034,0.8919487071683835,-0.006516712213580078
Android,0.1,123,retention,PoisonShield_vs_Anomaly_Only,0.8854319949548034,0.9505991170906032,-0.06516712213579978
Android,0.1,2026,accuracy,PoisonShield_vs_No_Defense,0.9237472766884532,0.920479302832244,0.0032679738562092497
Android,0.1,2026,accuracy,PoisonShield_vs_Integrity_Only,0.9237472766884532,0.9237472766884532,0.0
Android,0.1,2026,accuracy,PoisonShield_vs_Anomaly_Only,0.9237472766884532,0.925925925925926,-0.002178649237472796
Android,0.1,2026,balanced_accuracy,PoisonShield_vs_No_Defense,0.9114747835561772,0.9040813655009377,0.00739341805523952
Android,0.1,2026,balanced_accuracy,PoisonShield_vs_Integrity_Only,0.9114747835561772,0.9091449843033385,0.0023297992528387157
Android,0.1,2026,balanced_accuracy,PoisonShield_vs_Anomaly_Only,0.9114747835561772,0.9093940853427916,0.0020806982133855234
Android,0.1,2026,macro_f1,PoisonShield_vs_No_Defense,0.9109084057968192,0.9066857562313834,0.004222649565435832
Android,0.1,2026,macro_f1,PoisonShield_vs_Integrity_Only,0.9109084057968192,0.9116585172557824,-0.0007501114589631985
Android,0.1,2026,macro_f1,PoisonShield_vs_Anomaly_Only,0.9109084057968192,0.9146803005582502,-0.003771894761431027
