experiment_id,dataset,poisoning_rate,seed,defense,metric,value
PS-040,MalMem,0.2,42,E4_PoisonShield,accuracy,0.9170747117359028
PS-040,MalMem,0.2,42,E4_PoisonShield,macro_precision,0.7978123116176548
PS-040,MalMem,0.2,42,E4_PoisonShield,macro_recall,0.7962103900819115
PS-040,MalMem,0.2,42,E4_PoisonShield,macro_f1,0.7970088799275166
PS-040,MalMem,0.2,42,E4_PoisonShield,balanced_accuracy,0.7962103900819115
PS-040,MalMem,0.2,42,E4_PoisonShield,retention,0.7780967340085576
PS-040,MalMem,0.2,42,E4_PoisonShield,poison_removal_rate,0.957345971563981
PS-041,MalMem,0.2,123,E1_No_Defense,accuracy,0.9207076291265204
PS-041,MalMem,0.2,123,E1_No_Defense,macro_precision,0.8141569856852998
PS-041,MalMem,0.2,123,E1_No_Defense,macro_recall,0.8049399669811023
PS-041,MalMem,0.2,123,E1_No_Defense,macro_f1,0.8094128804719822
PS-041,MalMem,0.2,123,E1_No_Defense,balanced_accuracy,0.8049399669811023
PS-041,MalMem,0.2,123,E1_No_Defense,retention,1.0
PS-041,MalMem,0.2,123,E1_No_Defense,poison_removal_rate,0.0
PS-042,MalMem,0.2,123,E2_Integrity_Only,accuracy,0.9211814879166008
PS-042,MalMem,0.2,123,E2_Integrity_Only,macro_precision,0.8062632911720229
PS-042,MalMem,0.2,123,E2_Integrity_Only,macro_recall,0.8063242492973768
PS-042,MalMem,0.2,123,E2_Integrity_Only,macro_f1,0.8062557841329352
PS-042,MalMem,0.2,123,E2_Integrity_Only,balanced_accuracy,0.8063242492973768
PS-042,MalMem,0.2,123,E2_Integrity_Only,retention,0.7893625088013866
PS-042,MalMem,0.2,123,E2_Integrity_Only,poison_removal_rate,0.954366960054164
PS-043,MalMem,0.2,123,E3_Anomaly_Only,accuracy,0.9154951824356342
PS-043,MalMem,0.2,123,E3_Anomaly_Only,macro_precision,0.7997863643564943
PS-043,MalMem,0.2,123,E3_Anomaly_Only,macro_recall,0.7927689959614118
PS-043,MalMem,0.2,123,E3_Anomaly_Only,macro_f1,0.7961593385470915
PS-043,MalMem,0.2,123,E3_Anomaly_Only,balanced_accuracy,0.7927689959614118
PS-043,MalMem,0.2,123,E3_Anomaly_Only,retention,0.9447814548014948
PS-043,MalMem,0.2,123,E3_Anomaly_Only,poison_removal_rate,0.0870683818551117
PS-044,MalMem,0.2,123,E4_PoisonShield,accuracy,0.9184962881061444
PS-044,MalMem,0.2,123,E4_PoisonShield,macro_precision,0.8016465863289235
PS-044,MalMem,0.2,123,E4_PoisonShield,macro_recall,0.7999727366541198
PS-044,MalMem,0.2,123,E4_PoisonShield,macro_f1,0.800692992734689
PS-044,MalMem,0.2,123,E4_PoisonShield,balanced_accuracy,0.7999727366541198
PS-044,MalMem,0.2,123,E4_PoisonShield,retention,0.7788008449331094
PS-044,MalMem,0.2,123,E4_PoisonShield,poison_removal_rate,0.9558564658090724
PS-045,MalMem,0.2,2026,E1_No_Defense,accuracy,0.9203917232664666
PS-045,MalMem,0.2,2026,E1_No_Defense,macro_precision,0.8144854447921406
PS-045,MalMem,0.2,2026,E1_No_Defense,macro_recall,0.8042641568711842
PS-045,MalMem,0.2,2026,E1_No_Defense,macro_f1,0.8091986355639298
PS-045,MalMem,0.2,2026,E1_No_Defense,balanced_accuracy,0.8042641568711842
PS-045,MalMem,0.2,2026,E1_No_Defense,retention,1.0
PS-045,MalMem,0.2,2026,E1_No_Defense,poison_removal_rate,0.0
PS-046,MalMem,0.2,2026,E2_Integrity_Only,accuracy,0.9194440056863056
PS-046,MalMem,0.2,2026,E2_Integrity_Only,macro_precision,0.8022613320471041
PS-046,MalMem,0.2,2026,E2_Integrity_Only,macro_recall,0.8021335345734035
PS-046,MalMem,0.2,2026,E2_Integrity_Only,macro_f1,0.802132641470145
PS-046,MalMem,0.2,2026,E2_Integrity_Only,balanced_accuracy,0.8021335345734035
PS-046,MalMem,0.2,2026,E2_Integrity_Only,retention,0.7900395385365325
PS-046,MalMem,0.2,2026,E2_Integrity_Only,poison_removal_rate,0.95260663507109
PS-047,MalMem,0.2,2026,E3_Anomaly_Only,accuracy,0.9129679355552044
PS-047,MalMem,0.2,2026,E3_Anomaly_Only,macro_precision,0.7977878659519112
PS-047,MalMem,0.2,2026,E3_Anomaly_Only,macro_recall,0.78674973538957
PS-047,MalMem,0.2,2026,E3_Anomaly_Only,macro_f1,0.7920650018173347
PS-047,MalMem,0.2,2026,E3_Anomaly_Only,balanced_accuracy,0.78674973538957
PS-047,MalMem,0.2,2026,E3_Anomaly_Only,retention,0.9445377240968424
PS-047,MalMem,0.2,2026,E3_Anomaly_Only,poison_removal_rate,0.0882870683818551
PS-048,MalMem,0.2,2026,E4_PoisonShield,accuracy,0.9151792765755804
PS-048,MalMem,0.2,2026,E4_PoisonShield,macro_precision,0.7929622391792079
PS-048,MalMem,0.2,2026,E4_PoisonShield,macro_recall,0.7918087215583666
PS-048,MalMem,0.2,2026,E4_PoisonShield,macro_f1,0.7923128862457748
