dataset,poisoning_rate,metric,comparison,n_pairs,mean_difference,median_difference,rank_biserial_effect,wilcoxon_statistic,p_value,holm_p_value,holm_reject,effect_direction,friedman_statistic,friedman_p_value,friedman_significant_05
Android,0.01,macro_precision,E4_PoisonShield_vs_E2_Integrity_Only,3,-0.0007752496836448,-0.0014285149367325,-0.6666666666666666,1.0,0.5,1.0,False,PoisonShield_lower,5.800000000000004,0.1217566197112534,False
Android,0.01,macro_precision,E4_PoisonShield_vs_E3_Anomaly_Only,3,8.70765568281584e-05,0.0010784918618874,0.0,3.0,1.0,1.0,False,PoisonShield_higher,5.800000000000004,0.1217566197112534,False
Android,0.01,macro_recall,E4_PoisonShield_vs_E1_No_Defense,3,-0.0023900806498978,-0.0022621826460336,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,4.200000000000003,0.2406618852096149,False
Android,0.01,macro_recall,E4_PoisonShield_vs_E2_Integrity_Only,3,0.0019061103436554,0.0020824858751955,0.6666666666666666,1.0,0.5,0.75,False,PoisonShield_higher,4.200000000000003,0.2406618852096149,False
Android,0.01,macro_recall,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.0023399710371024,0.0025741409468054,1.0,0.0,0.25,0.75,False,PoisonShield_higher,4.200000000000003,0.2406618852096149,False
Android,0.01,macro_f1,E4_PoisonShield_vs_E1_No_Defense,3,-0.0032646139672258,-0.0025793927300036,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,5.800000000000004,0.1217566197112534,False
Android,0.01,macro_f1,E4_PoisonShield_vs_E2_Integrity_Only,3,0.000563562821343,0.0006065903134867,0.6666666666666666,1.0,0.5,1.0,False,PoisonShield_higher,5.800000000000004,0.1217566197112534,False
Android,0.01,macro_f1,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.0014977428372272,0.0016643022301545,0.6666666666666666,1.0,0.5,1.0,False,PoisonShield_higher,5.800000000000004,0.1217566197112534,False
Android,0.01,balanced_accuracy,E4_PoisonShield_vs_E1_No_Defense,3,-0.0023900806498978,-0.0022621826460336,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,4.200000000000003,0.2406618852096149,False
Android,0.01,balanced_accuracy,E4_PoisonShield_vs_E2_Integrity_Only,3,0.0019061103436554,0.0020824858751955,0.6666666666666666,1.0,0.5,0.75,False,PoisonShield_higher,4.200000000000003,0.2406618852096149,False
Android,0.01,balanced_accuracy,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.0023399710371024,0.0025741409468054,1.0,0.0,0.25,0.75,False,PoisonShield_higher,4.200000000000003,0.2406618852096149,False
Android,0.01,retention,E4_PoisonShield_vs_E1_No_Defense,3,-0.0179617637989515,-0.0180388529139685,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,9.0,0.0292908865348882,True
Android,0.01,retention,E4_PoisonShield_vs_E2_Integrity_Only,3,-0.0071692876965772,-0.0071692876965772,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,9.0,0.0292908865348882,True
Android,0.01,retention,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.0312210915818686,0.0312210915818685,1.0,0.0,0.25,0.75,False,PoisonShield_higher,9.0,0.0292908865348882,True
Android,0.01,poison_removal_rate,E4_PoisonShield_vs_E1_No_Defense,3,0.9689922480620154,0.9767441860465116,1.0,0.0,0.25,0.75,False,PoisonShield_higher,9.000000000000002,0.0292908865348881,True
Android,0.01,poison_removal_rate,E4_PoisonShield_vs_E2_Integrity_Only,3,0.0,0.0,0.0,0.0,1.0,1.0,False,No_difference,9.000000000000002,0.0292908865348881,True
Android,0.01,poison_removal_rate,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.9302325581395348,0.9302325581395348,1.0,0.0,0.25,0.75,False,PoisonShield_higher,9.000000000000002,0.0292908865348881,True
Android,0.05,accuracy,E4_PoisonShield_vs_E1_No_Defense,3,0.0,0.0021786492374727,0.0,3.0,1.0,1.0,False,No_difference,0.692307692307694,0.8750117490815184,False
Android,0.05,accuracy,E4_PoisonShield_vs_E2_Integrity_Only,3,0.0003631082062454,0.0,0.3333333333333333,1.0,1.0,1.0,False,PoisonShield_higher,0.692307692307694,0.8750117490815184,False
Android,0.05,accuracy,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.0018155410312273,0.0,0.3333333333333333,1.0,1.0,1.0,False,PoisonShield_higher,0.692307692307694,0.8750117490815184,False
Android,0.05,macro_precision,E4_PoisonShield_vs_E1_No_Defense,3,-0.0021632229626913,0.0010641741565922,0.0,3.0,1.0,1.0,False,PoisonShield_lower,0.2000000000000028,0.9775892977616488,False
Android,0.05,macro_precision,E4_PoisonShield_vs_E2_Integrity_Only,3,-0.0013693573682844,-0.0018472463275064,-0.3333333333333333,2.0,0.75,1.0,False,PoisonShield_lower,0.2000000000000028,0.9775892977616488,False
Android,0.05,macro_precision,E4_PoisonShield_vs_E3_Anomaly_Only,3,-0.0006408651733932,-0.003161107818014,0.0,3.0,1.0,1.0,False,PoisonShield_lower,0.2000000000000028,0.9775892977616488,False
Android,0.05,macro_recall,E4_PoisonShield_vs_E1_No_Defense,3,0.0007837698532782,-0.0005873934370548,0.0,3.0,1.0,1.0,False,PoisonShield_higher,0.2000000000000028,0.9775892977616488,False
Android,0.05,macro_recall,E4_PoisonShield_vs_E2_Integrity_Only,3,0.0004901827651735,0.0008086808349171,0.3333333333333333,2.0,0.75,1.0,False,PoisonShield_higher,0.2000000000000028,0.9775892977616488,False
Android,0.05,macro_recall,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.0024086479929913,-3.7064652486762384e-05,0.0,3.0,1.0,1.0,False,PoisonShield_higher,0.2000000000000028,0.9775892977616488,False
Android,0.05,macro_f1,E4_PoisonShield_vs_E1_No_Defense,3,-0.0010075907703359,0.0002322974681124,0.0,3.0,1.0,1.0,False,PoisonShield_lower,0.2000000000000028,0.9775892977616488,False
Android,0.05,macro_f1,E4_PoisonShield_vs_E2_Integrity_Only,3,-0.0006938943742258,0.0005667397447262,0.0,3.0,1.0,1.0,False,PoisonShield_lower,0.2000000000000028,0.9775892977616488,False
Android,0.05,macro_f1,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.0009723626653398,-0.0014662992501182,0.0,3.0,1.0,1.0,False,PoisonShield_higher,0.2000000000000028,0.9775892977616488,False
Android,0.05,balanced_accuracy,E4_PoisonShield_vs_E1_No_Defense,3,0.0007837698532782,-0.0005873934370548,0.0,3.0,1.0,1.0,False,PoisonShield_higher,0.2000000000000028,0.9775892977616488,False
Android,0.05,balanced_accuracy,E4_PoisonShield_vs_E2_Integrity_Only,3,0.0004901827651735,0.0008086808349171,0.3333333333333333,2.0,0.75,1.0,False,PoisonShield_higher,0.2000000000000028,0.9775892977616488,False
Android,0.05,balanced_accuracy,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.0024086479929913,-3.7064652486762384e-05,0.0,3.0,1.0,1.0,False,PoisonShield_higher,0.2000000000000028,0.9775892977616488,False
Android,0.05,retention,E4_PoisonShield_vs_E1_No_Defense,3,-0.0599201065246338,-0.0596981802041721,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,9.0,0.0292908865348882,True
Android,0.05,retention,E4_PoisonShield_vs_E2_Integrity_Only,3,-0.0068797159343098,-0.0068797159343098,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,9.0,0.0292908865348882,True
Android,0.05,retention,E4_PoisonShield_vs_E3_Anomaly_Only,3,-0.0110223405829264,-0.0110963160230802,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,9.0,0.0292908865348882,True
Android,0.05,poison_removal_rate,E4_PoisonShield_vs_E1_No_Defense,3,0.9585185185185184,0.9555555555555556,1.0,0.0,0.25,0.75,False,PoisonShield_higher,9.000000000000002,0.0292908865348881,True
Android,0.05,poison_removal_rate,E4_PoisonShield_vs_E2_Integrity_Only,3,0.0,0.0,0.0,0.0,1.0,1.0,False,No_difference,9.000000000000002,0.0292908865348881,True
Android,0.05,poison_removal_rate,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.9170370370370372,0.9155555555555556,1.0,0.0,0.25,0.75,False,PoisonShield_higher,9.000000000000002,0.0292908865348881,True
Android,0.1,accuracy,E4_PoisonShield_vs_E1_No_Defense,3,-0.0010893246187363,0.0,-0.3333333333333333,1.0,1.0,1.0,False,PoisonShield_lower,3.2500000000000018,0.3546625597824873,False
Android,0.1,accuracy,E4_PoisonShield_vs_E2_Integrity_Only,3,0.0010893246187363,0.0,1.0,0.0,1.0,1.0,False,PoisonShield_higher,3.2500000000000018,0.3546625597824873,False
