poisoning_rate,seed,defense,metric,android_minus_malmem
0.01,2026,E4_PoisonShield,balanced_accuracy,0.1334868977312853
0.05,42,E1_No_Defense,balanced_accuracy,0.1250872931417344
0.05,42,E2_Integrity_Only,balanced_accuracy,0.12146781295118192
0.05,42,E3_Anomaly_Only,balanced_accuracy,0.1390592589299655
0.05,42,E4_PoisonShield,balanced_accuracy,0.12983051378721266
0.05,123,E1_No_Defense,balanced_accuracy,0.1174127598705228
0.05,123,E2_Integrity_Only,balanced_accuracy,0.11985741271851458
0.05,123,E3_Anomaly_Only,balanced_accuracy,0.13312723679385174
0.05,123,E4_PoisonShield,balanced_accuracy,0.13084418394958142
0.05,2026,E1_No_Defense,balanced_accuracy,0.11701555772970262
0.05,2026,E2_Integrity_Only,balanced_accuracy,0.11778674192963579
0.05,2026,E3_Anomaly_Only,balanced_accuracy,0.12843950909663915
0.05,2026,E4_PoisonShield,balanced_accuracy,0.12727637795431634
0.1,42,E1_No_Defense,balanced_accuracy,0.1161902744674913
0.1,42,E2_Integrity_Only,balanced_accuracy,0.10793684299442197
0.1,42,E3_Anomaly_Only,balanced_accuracy,0.14735456639790556
0.1,42,E4_PoisonShield,balanced_accuracy,0.11929334186115914
0.1,123,E1_No_Defense,balanced_accuracy,0.11037988500583762
0.1,123,E2_Integrity_Only,balanced_accuracy,0.11070850563524104
0.1,123,E3_Anomaly_Only,balanced_accuracy,0.12661091880349606
0.1,123,E4_PoisonShield,balanced_accuracy,0.11685714331206842
0.1,2026,E1_No_Defense,balanced_accuracy,0.1130628039720607
0.1,2026,E2_Integrity_Only,balanced_accuracy,0.116043294847603
0.1,2026,E3_Anomaly_Only,balanced_accuracy,0.1338546412810896
0.1,2026,E4_PoisonShield,balanced_accuracy,0.12663585976702307
0.2,42,E1_No_Defense,balanced_accuracy,0.09642007542148312
0.2,42,E2_Integrity_Only,balanced_accuracy,0.10396317465508587
0.2,42,E3_Anomaly_Only,balanced_accuracy,0.12128837109290125
0.2,42,E4_PoisonShield,balanced_accuracy,0.11083209017814966
0.2,123,E1_No_Defense,balanced_accuracy,0.09999643161966298
0.2,123,E2_Integrity_Only,balanced_accuracy,0.10107475157415846
0.2,123,E3_Anomaly_Only,balanced_accuracy,0.10461788359737689
0.2,123,E4_PoisonShield,balanced_accuracy,0.10935079699971717
0.2,2026,E1_No_Defense,balanced_accuracy,0.09567052953758115
0.2,2026,E2_Integrity_Only,balanced_accuracy,0.10942108828415165
0.2,2026,E3_Anomaly_Only,balanced_accuracy,0.10888305714685809
0.2,2026,E4_PoisonShield,balanced_accuracy,0.11664090824790019
0.01,42,E1_No_Defense,retention,0.0
0.01,42,E2_Integrity_Only,retention,-0.0007485826107357374
0.01,42,E3_Anomaly_Only,retention,-0.0016041919572131746
0.01,42,E4_PoisonShield,retention,0.005353351918633065
0.01,123,E1_No_Defense,retention,0.0
0.01,123,E2_Integrity_Only,retention,-0.0003464243614645923
0.01,123,E3_Anomaly_Only,retention,-0.0011048191126483697
0.01,123,E4_PoisonShield,retention,0.005822536542782641
0.01,2026,E1_No_Defense,retention,0.0
0.01,2026,E2_Integrity_Only,retention,-0.0005843416405632018
0.01,2026,E3_Anomaly_Only,retention,-0.001235546895381523
0.01,2026,E4_PoisonShield,retention,0.005450566513927169
0.05,42,E1_No_Defense,retention,0.0
0.05,42,E2_Integrity_Only,retention,-0.000335829847428748
0.05,42,E3_Anomaly_Only,retention,-0.00016164880236879675
0.05,42,E4_PoisonShield,retention,0.0053584187153030705
0.05,123,E1_No_Defense,retention,0.0
